Country,ISO2,ISO3,Indicator,Source,CTS Code,CTS Name,CTS Full Descriptor,Unit,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Accidents,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIA,Implicit; Accidents,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Accidents",Percent of GDP,0.0,0.0,0.0432097604898639,0.0636904695958714,0.0924356942547814,0.0402373968133598,0.0807717793938948,0.113428935899719,0.108560056784179,0.113131272359208,0.118330952047345,0.123867888803398,0.133215576424257,0.142837007122101,0.152937598629574,0.163230957255491
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Accidents,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIA,Implicit; Accidents,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Accidents",USD at constant 2021 prices,0.0,0.0,10982764.59,16447286.38,24503778.19,9710088.599,21935192.13,31851979.49,31563836.51,34089846.3,36990255.61,40247154.43,44989564.47,50138646.24,55799282.86,61902075.92
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIC,Implicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Coal",Percent of GDP,0.0,0.0,0.0,0.0,1.09256478931684e-06,1.22798773412896e-06,1.11543984976249e-06,1.09305936398276e-06,1.06473258813414e-06,1.05296518766801e-06,1.03938579654511e-06,2.06204604210267e-16,1.00781120454815e-06,2.01128140846675e-16,9.75905166506784e-07,9.59692007488859e-07
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Coal,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIC,Implicit; Coal,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Coal",USD at constant 2021 prices,0.0,0.0,0.0,0.0,289.628,296.338,302.92,306.942,309.571,317.29,324.912,6.7e-08,340.358,7.06e-08,356.059,363.944
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Congestion,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIG,Implicit; Congestion,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Congestion",Percent of GDP,0.0,0.0,0.0370235371549228,0.0545720790934482,0.0792019284393979,0.029702047405934,0.0803090923150569,0.10138374010897,0.0981968328804815,0.103515080642485,0.109526181797825,0.116127500861751,0.123904252102333,0.131799252749131,0.140029421406057,0.148343037470664
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Congestion,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIG,Implicit; Congestion,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Congestion",USD at constant 2021 prices,0.0,0.0,9410392.195,14092573.33,20995639.21,7167698.08,21809540.2,28469568.06,28550729.16,31192199.25,34237884.43,37732147.58,41844944.02,46264173.7,51089734.4,56256130.1
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIT,Implicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Electricity",Percent of GDP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Electricity,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIT,Implicit; Electricity,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Electricity",USD at constant 2021 prices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Foregone VAT,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIF,Implicit; Foregone Vat,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Foregone Vat",Percent of GDP,0.0564902150725688,0.0591275666439623,0.118298539290809,0.135425357230688,0.177247307405032,0.0784247138239682,0.155805790735354,0.223370702823974,0.199833003267412,0.198178988218896,0.202890016794626,0.207995352579096,0.215167542964586,0.222314490769757,0.229824765136357,0.237231683121061
Honduras,HN,HND,Implicit Fossil Fuel Subsidies - Foregone VAT,"Black, Simon; Liu, Antung A.; Parry, Ian; Vernon, Nate. 2023. IMF Fossil Fuel Subsidies Data: 2023 Update. International Monetary Fund. ISBN: 9798400249006/1018-5941. IMF staff estimations.",ECGFTIF,Implicit; Foregone Vat,"Environment, Climate Change, Mitigation, Fossil Fuel Subsidies, Total Implicit and Explicit, Implicit, Foregone Vat",USD at constant 2021 prices,13400086.72,14374906.71,30068322.38,34971945.53,46986488.72,18925451.94,42312178.59,62724727.06,58101445.7,59717274.52,63423419.25,67581849.96,72666382.61,78036832.55,83851565.56,89965371.19
