Country,ISO2,ISO3,Indicator,Series,Variable,Model,Scenarios,Unit,Source,CTS Name,CTS Code,CTS Full Descriptor,2020,2025,2030,2035,2040,2045,2050
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,GCAM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.92972,25.12775,25.32415,25.53646,25.73149,25.92137,26.11337
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,GCAM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.94487,25.12679,25.32332,25.51146,25.66848,25.78304,25.82058
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,GCAM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.92992,25.13288,25.33417,25.54409,25.73887,25.93452,26.14393
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,GCAM,Net Zero 2050 (Orderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.94584,25.15005,25.36872,25.55553,25.70034,25.79665,25.80854
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Below 2°C,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.92896,25.14207,25.36758,25.55941,25.7164,25.83814,25.96388
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Current Policies (Hot house world scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.91402,25.13293,25.31303,25.52137,25.73052,25.93281,26.15075
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Delayed Transition (Disorderly scenario),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.9288,25.13618,25.30601,25.55521,25.76118,25.89527,26.0232
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Fragmented World,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.91409,25.13252,25.31367,25.5582,25.7662,25.94346,26.10982
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Low Demand,Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.92897,25.14389,25.40846,25.584,25.69895,25.76759,25.81842
Honduras,HN,HND,Transition Pathways,Surface temperature,95th percentile,MESSAGEix-GLOBIOM,Nationally Determined Contributions (NDCs),Degree Celsius,"NGFS (2023), Scenarios Portal; and IIASA (2023), NGFS Phase 4 Scenario Explorer.",,,,24.91425,25.13618,25.32042,25.52524,25.72356,25.89818,26.08077
